"Species","Polymer","term","estimate","std.error","statistic","p.value","Sig","Odds_Ratio"
"G","No","Year11 Months",1.62745641791245,1.08860368195244,1.4949944087949,0.134915901352263,"",5.09090909078522
"G","Yes","Year11 Months",1.51059207777313,1.09166957837021,1.38374477745211,0.166436617486209,"",4.52941176459564
"M","No","Year11 Months",0.737598943130577,0.434663973204329,1.6969405991783,0.0897078913611342,"",2.09090909090867
"M","Yes","Year11 Months",0.723000143706817,0.461425230423811,1.56688472158914,0.117141639494826,"",2.06060606060027
