"contrast","Species","Year","estimate","SE","df","t.ratio","p.value"
"No - Yes","G","0",3.21111111111107,1.85046556188308,147.619683992069,1.73529903893125,0.0847747590684288
"No - Yes","M","0",0.768888888888961,1.85046556188308,147.619683992074,0.415511050152439,0.678371177513295
"No - Yes","G","5 Months",0.0699122773754088,1.87045446787601,151.604148522087,0.0373771607788975,0.970233454871317
"No - Yes","M","5 Months",-0.821668634670095,2.72995807371046,289.20543144981,-0.300982144225136,0.763644383500634
"No - Yes","G","11 Months",-2.86385362699726,2.13496348154222,201.301912668727,-1.34140637615427,0.181299921930953
"No - Yes","M","11 Months",0.00827681981162787,3.44680882694406,335.486371369408,0.00240129935461669,0.998085469378335
