"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Polymer",0.247497114237969,0.247497114237969,1,18.3284021060962,0.00342398863462,0.953971791103906
"Species",11860.9037979774,11860.9037979774,1,386.173505992382,164.089185143175,1.49303939131512e-31
"Year",55605.1154417809,27802.5577208904,2,381.048016558464,384.633339838316,3.79785606080103e-92
"Polymer:Species",0.468754409645638,0.468754409645638,1,386.537491675531,0.0064849635762276,0.935857993817963
"Polymer:Year",187.496234533584,93.7481172667921,2,381.339253179907,1.29695446763829,0.274566068615569
"Species:Year",6332.97654163312,3166.48827081656,2,380.064075701647,43.8066515818395,7.58753336886207e-18
"Polymer:Species:Year",91.6445653292417,45.8222826646209,2,381.079137278725,0.63392648249285,0.531063182682805
